SN Ref,Ecosystem,NCP,NCP_short,SDG,Effect,Quote,Remarks from text,
SN 123,Freshwater,"Materials, companionship and labor",MAT,9.1,Positive,"Edible wild vegetables such as stinging nettle and karkalo, as well as construction materials such as mud (kamero or red soil), pebbles, boulders, and sand, are extracted from stream banks. Boulders are turned into pasting and grinding tools such as Lohoro-Silauto and Janto",,
SN 123,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"The freshwater ecosystem supplies 10 such services, including water for
bathing, drinking, and irrigation",,
SN 123,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,,for irrigation,
SN 123,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,Erosion and flood control (n=309) are the predominant regulating services provided by the forest ecosystem,,
SN 123,Agroforest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,"Similarly, nutrient enrichment (n=217) is the major regulating service provided by the agro ecosystem,",,
SN 123,Freshwater,Regulation of freshwater and coastal water quality,WQL,6.1,Positive,water purification (n=136) is a highly acknowledged regulating service provided by the freshwater ecosystem,,
SN 123,Forest,"Materials, companionship and labor",MAT,1.1,Positive,"Non-timber Forest Products (NTFP’s), including medicinal plants, support income generation.",,
SN 123,Forest,Supporting identities,IDE,NA,Positive,"In death rituals, bamboo is used to carry the body. Fine bamboo needles (sinka) are used in weaving leaves of Sal to make leaf plates (tapari). These tapari are used in worship and ceremonies.",,
SN 123,Freshwater,Supporting identities,IDE,NA,Positive,"Religious people visit the Rauta Pokhari for worship and to offer sacrifices. Besides its cultural heritage, Triyuga is also socially important to the communities, as the river provides services such as
water for bathing, water for irrigation, and habitat for aquatic fauna",,
SN 124,Forest,"Materials, companionship and labor",MAT,5.5,Positive,"Mostly women were involved in ‘allo’ processing, thus it acts as a source of income for the women, and they utilise the income generated from ‘allo’ for their daily use and also for the welfare of their children.",,
SN 125,Others,Physical and psychological experiences,EXP,8.9,Positive,"being in a natural setting, and seeing wildlife and natural wilderness were the most important motives to visit the park",,
SN 127,Freshwater,"Materials, companionship and labor",MAT,9.1,Positive,"According to the LAT, most of the surveyed households in the KTWRBZ used natural material – thatch/bamboo (80.5%), wood branches (7.6%), burnt bricks (6.2%), and grass/leaves/reeds (3%) – as the primary construction material for the exterior walls of their houses. Many surveyed households (47.3%) also used thatch/bamboo as the primary construction material for roofs.",,
SN 127,Freshwater,Energy,NRG,7.1,Positive,"According to the LAT, the majority of the surveyed households (92.1%) used wood, sawdust, grass, or other natural materials for fuel for cooking. Fuelwood was the most important product collected from the watershed.",,
SN 127,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,"Of the surveyed households engaged in agriculture, 44.3% reported that the majority of their agricultural land was irrigated, while 45.4% stated theirs was rain-fed.",Irrigation used in agriculture to grow crops,
SN 127,Forest,Food and feed,FOD,2.1,Positive,"according to the LAT the reserve area was a significant grazing area: 39.5% of households used it to graze bullocks/cows, 15.1% for buffaloes, and 9.9% for goats.",,
SN 127,Farmland,Food and feed,FOD,2.1,Positive,"Paddy and wheat crops grown in the summer and winter seasons, respectively, were considered in the valuation of floodplain agriculture. With the estimated total number of households dependent on floodplain agriculture, the total annual net benefit generated from these crops is estimated at NPR 357.5 million",,
SN 127,Freshwater,Food and feed,FOD,2.1,Positive,"The net annual income from fishery products was estimated to be NPR 36,290 per household. This translates to a total net annual value of NPR 230,427,353 (USD 2,676,938) generated from the wetland for
all fishing households",,
SN 127,Grassland,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"In Koshi Tappu, flood control applies mostly to the buffer zone area (17,888 ha). The total value of flood protection is USD 952,075 per year, which represents 6% of the total estimated value of the KTWR (Table 17).",,
SN 127,Grassland,Regulation of detrimental organisms and biological processes,ORG,3,Negative,"Local residents are most deeply concerned about humanwildlife conflict. Every single community mentioned that wild elephants damage fields and attack homes and that wild water buffaloes damage crops. Although these attacks were common in the past, they appear to have risen in the past eight to ten years, impacting local lives and livelihoods.",,
SN 127,Grassland,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,,,
SN 129,Forest,Habitat creation and maintenance,HAB,15.5,Positive,"The forest ecosystem of Bhadaure Tamagi VDC is not only the largest ecosystem but also has the richest biodiversity and is home to 178 species of flora, including 30 species of orchids and 20 species of fauna.",,
SN 129,Farmland,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"Wildlife, which is specific in nature, is posing a major threat to the agricultural production of the VDC. Local people reported on wild hares 'chauda' from nearby forests infesting wheat, monkeys infesting maize, and wild rats infesting cereal crops.",,
SN 130,Forest,Physical and psychological experiences,EXP,8.9,Positive,"The tourists who had higher WTP were based on their recreation during elephant riding, jungle walk, bird watching, staying in the machans (watching tower) and canoeing.",,
SN 131,Farmland,Food and feed,FOD,1.1,Positive,"Local people, particularly those living near the forest ecosystem
and earning their livelihood from traditional agriculture",,
SN 131,Forest,Energy,NRG,7.1,Positive,"Among the wood products, the largest value came from fuelwood. Virtually all households in the district use fuelwood for cooking. The average value of the fuelwood harvested was NPR 6,885 per household per year with the highest value in Taplejung, which is the coldest district.",,
SN 131,Forest,Food and feed,FOD,2.4,Positive,"forest-based intermediate inputs include leaf fodder and grass for livestock feed,
leaf litter for livestock bedding, biomass for crop mulching and composting for crop fertilization, and small timber for agricultural tools. Of these, tree fodder generated the highest average annual value (NPR 23,864) followed by grass (NPR 18,471), leaf litter (NPR 2,154), and wood for agricultural tools (NPR 166)",,
SN 131,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,,,
SN 131,Forest,"Materials, companionship and labor",MAT,9.1,Positive,Bamboo is used for many household purposes including construction of houses or animal sheds and weaving baskets,,
SN 131,Forest,Food and feed,FOD,2.1,Positive,"The villagers harvest some wild edibles from the forest to eat raw or cooked, including wild mushrooms, young bamboo shoots, other vegetables, wild fruit, and honey. Total value of wild edibles from forests was NPR 221 per household, with the highest amount in Panchthar and lowest in Illam. Notwithstanding the low monetary value, these products help farmers to maintain their traditional food habits and provide nutritional supplements, especially vitamins and
minerals.",,
SN 131,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Medicinal and aromatic plants support healthcare in local communities, are a source of traditional medicines, and can be a direct source of income. The major medicinal plants harvested are chiraita (Swertia chirayita), Himalayan yew, valerian, prickly ash (timur), and asparagus. Total value is NPR 3,182 per household per year",,
SN 131,Forest,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,"The total value generated from medicinal and aromatic plants was NPR 371 million, of which NPR 368 million was from chiraita, with the greatest amount generated in Ilam and the least in Taplejung. These medicinal plants are exported.",,
SN 131,Forest,"Medicinal, biochemical and genetic resources",MED,9.2,Positive,,,
SN 131,Forest,Regulation of climate,CLI,13.2,Positive,"The annual value of the carbon sequestration services from the study area was estimated to be NPR 1.65 billion (Table 8), of which close to 96% was generated from the forest ecosystem and the remainder from pasture",,
SN 133,Grassland,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"Over 90% of respondents in each sector reported that they faced problems with wildlife. Crop damage was the most common problem, followed by damage to property. Other problems such as loss of and injury to livestock were reported to occur in all sectors but were not as significant as that of crop loss. The overall economic value of crop loss in each site is provided in table 1. In Jhapa, the
average household loss was Nepalese Rupees (NRs) 12,253 (US$ 193), and in Bardia NRs 10,108 (US$ 159) per year.","In Jhapa, elephants were considered to be the only animal that caused significant problems, whilst in Shukla and Bardia, respondents also raised concerned about conflicts involving wild boar, spotted deer, rhino, leopard, tiger, nilgai, swamp deer, porcupine and monkey.",
SN 133,Grassland,Regulation of detrimental organisms and biological processes,ORG,1.1,Negative,,,
SN 135,Others,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,Almost one third of people living in project areas are primarily dependent on Yarsha Gumba collection (Keera Tipnecollection of cordiceps sinesis) as main livelihoods strategy,,
SN 135,Others,Food and feed,FOD,1.1,Positive,"Similarly, second prioritised strategy is agro-farming and livestock raring that are complementary sources and strategy for their survival.",,
SN 135,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"Some families who have marginal chunk of arable lands faced crop
depredation by wild boar, rabbit and Himalayan Thaar.",The already food insecure communities were having to deal with crop raidings from wildlife,
SN 136,Freshwater,Food and feed,FOD,2.1,Positive,"93% of the fishermen along Mohana and 62% along Geruwa
stated that fishing was only for domestic
consumption.",,
SN 139,Farmland,Food and feed,FOD,2.1,Positive,In most communities staple grains together with livestock (sheep and cows) that provide manure to fertilise the crops were at least as important to the farmers as beekeeping. This is obviously the case for subsistence farmers who grow their own food since honey and other bee products are dietary supplements rather than staple food.,,
SN 139,Farmland,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,,,
SN 139,Farmland,Food and feed,FOD,1.1,Positive,"Many farmers appear to sell their honey from home, but in some areas farmers carry honey long distances to sell it. In North Humla prices may be higher in Simikot than in the villages but are best in Limi near the Tibetan border",Farmers selling honey as a source of livelihood,
SN 139,Farmland,"Materials, companionship and labor",MAT,1.1,Positive,"In South Humla and amongst the Hindu communities in North Humla, the traditional trade in beeswax has been with metal workers of Kami, Sunar, Tamata (occupational) castes who use it in lost wax casting processes to make pots, jewellery and religious statues.","Apart from honey, proceesed beewax is also used for several purposes and is a source of income for farmers",
SN 139,Farmland,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Many beekeepers in Humla (in both the ApTibeT and the current study) talked of the value of honey as a medicine, especially raw honey harvested in ‘Kaartik’ Nepali month (between September and November). In Bargaon they said that honey was not food but medicine.","Treatments included chest pain, antidote for posion, headache, stomach ache, eye pain, dehydration etc",
SN 139,Farmland,Supporting identities,IDE,NA,Positive,"Other uses of honey included:
-As part of the dowry from the girl’s family at weddings, even carried to far away
areas such as Bajhang and Doti in the Seti Zone.
· For making ‘honey roti’ or sweet fried breads for festivals.
· For making honey and buckwheat breads called ‘desu’ for carrying on long
journeys. These have the value of providing concentrated nutrition and also of
keeping without going mouldy even for weeks on end.",,
SN 140,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,5,Positive,"A sustainable supply of water through the irrigation facility
would save the women time which could be used in other agriculture
and household activities, therefore they showed higher willingness to
pay for supply of irrigation water compared to their male counterparts","Continual access to water was related to less time spent in water collection, and more time on other activities for females. ",
SN 140,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2,Positive,Households perceived that the output (production) obtained using irrigation water could support the smaller families by increasing the supply of food to the household; and this would also provide additional time for the household members to engage in nonfarm work,,
SN 141,Freshwater,Supporting identities,IDE,NA,Positive,"The Ganga, or Ganges, is the most sacred river for Hindus, and the Karnali, one of its major tributaries, is consequently considered auspicious.
Locals and neighboring villages identified  confluence sites as extremely auspicious locations for ceremonies, including weddings.
Approximately 83% of
surveyed respondents recounted using water from the surrounding rivers for religious purposes, with no notable distinction between male and female respondents.","Points that the river is highly valued in terms of religious functions, spirituality and culture",
SN 141,Freshwater,Physical and psychological experiences,EXP,NA,Positive,Rivers and riverbanks provide an important site for recreation. Young adults and families noted that they enjoyed visiting these locations for picnics during holidays and festivals,"Note: This use was more common in the Mountain and Hill regions than the Terai, presumably because the surrounding view of the river is more alluring.",
SN 141,Freshwater,Habitat creation and maintenance,HAB,15,Positive,"The Gangetic dolphin is found only on the Indian subcontinent and requires deep-water channels. This species resides in the Terai region of the Karnali River
between late June and September, when river levels rise. It frequents the rivers surrounding Sunaphata village in Kailali during the monsoon",Habitat for dolphins,
SN 141,Freshwater,Habitat creation and maintenance,HAB,8.9,Positive,"...and attracts local and international tourists, who stay at homestays located in the area. Proper management of these rivers is widely seen as providing an opportunity to develop tourism activities that can contribute to local sustainable
development",Habitat for dolphins attract toursits; Kailali is in the Terai region,
SN 141,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"locals were noted to use river water for a majority of their needs, including
irrigation, domestic activities, fishing, and in certain places, drinking",,
SN 141,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.1,Positive,"In the Mountain and Hill regions, 86% and 64% of households relied on river water for irrigation, respectively, and the primary use of agricultural production is for a household’s own consumption or subsistence.",,
SN 141,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,1.1,Positive,"In contrast, commercial-scale farming is more common in the Terai region, where land is fertile, access to groundwater is easier, and growing conditions are
relatively favorable","This is related to irrigation, so NCP 6",
SN 141,Freshwater,Food and feed,FOD,2,Positive,Fishing was also noted as a major activity across the Karnali basin; approximately 60% of respondents had a family member who partakes in some form of fishing or shellfish capture. More than 50% of the surveyed population said that the primary purpose of fishing is for household consumption.,Freshwater provides habitat for fishes which are consumed by locals,
SN 141,Freshwater,Food and feed,FOD,1.1,Positive,"Furthermore, fishing is an occupation that is closely tied to ethnicity in rural areas, where families belonging to the Chaudhary caste are much more likely to fish, and to sell their produce either locally in their village or in nearby towns",,
SN 141,Freshwater,Food and feed,FOD,4,Positive,"Young children also fish, often as a recreational activity, but also to provide income needed for purchasing school supplies.",,
SN 142,Forest,Food and feed,FOD,2,Positive,"During critical seasons when the high income household group faced a deficit in farm fodder, this household group had used forest fodder and pasture.",,
